Kode_RS,Rumah_Sakit,Jenis,Jenis_Grup,Kelas,Penyelenggara,Penyelenggara_Kategori,Provinsi,Kab_Kota,Dokter,Dokter Gigi,Dokter Spesialis Penyakit Dalam (Sp.PD),Dokter Spesialis Obstetri & Ginekologi (Sp.OG),Dokter Spesialis Anak (Sp.A),Dokter Spesialis Bedah (Sp.B),Subspesialis Digestif,Subspesialis Onkologi,Dokter Spesialis Obstetri & Ginekologi (Sp.OG)_2,Subspesialis Onkologi ginekologi,Dokter Spesialis Penyakit Dalam (Sp.PD)_2,Subspesialis Hematologi onkologi,Subspesialis Gastroenterologi-hepatologi,Dokter Spesialis Anak (Sp.A)_2,Subspesialis Hematologi onkologi_2,Dokter Spesialis Paru  - Pulmonologi (Sp.P),Subspesialis Onkologi thoraks,Dokter Spesialis Patologi Anatomi (Sp.PA),Dokter Spesialis Patologi Klinik (SP.PK),Dokter Spesialis Radiologi (Sp.Rad),Dokter Spesialis Onkologi Radiasi (Sp.Onk.Rad),Dokter Spesialis Anastesiologi (Sp.An),Dokter Spesialis Nuklir (Sp.KN),Ahli Teknologi Laboratorium Medik (Analis Kesehatan),Fisikawan Medik,Radiografer,Total_SDM_Tercatat,Jumlah_Jenis_SDM_Tersedia,Kelengkapan_Data_SDM_pct,Brachytherapy,CT Scan 128,CT Scan 64,CT Simulator,CUSA,Cyclotron,Cytotoxic drug safety cabinet,Flowcytometer,IHK Manual,IHK Set,LINAC,Mammografi,Mikroskop fluoresen,Mikroskop microsurgery,MRI 1.5 Tesla,PET CT,Set Histopatologi,Slide Scanner / Digital Pathology,SPECT CT,"USG (Payudara, Abdomen, Ginekologi)",Jumlah_Record_Alkes_Raw,Duplikat_Alkes_Raw,Total_Unit_Alkes_Tercatat,Jumlah_Jenis_Alkes_Tersedia,Kelengkapan_Data_Alkes_pct,Ada_Data_Alkes,BPJS_Bedah Onko,BPJS_Bronkoskopi,BPJS_Kemo,BPJS_Kolonoskopi,BPJS_Mammografi,BPJS_Patologi Anatomi,BPJS_Patologi Klinik,BPJS_Radioterapi,Jumlah_Layanan_BPJS_Tercatat,Jumlah_Layanan_BPJS_Sudah,Persen_Layanan_BPJS_Sudah
1107014,RS Umum Daerah Cut Nyak Dhien,RSU,RS Umum,B,Pemkab,RS Publik,Aceh,Aceh Barat,33.0,4.0,6.0,4.0,6.0,4.0,,1.0,4.0,,6.0,,,6.0,,3.0,,,2.0,,,2.0,,28.0,,20.0,113.0,12,52.17,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,,1.0,False,3.0,2.0,75.0,1,Sudah kerjasama BPJS,,,,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,,3,3,100.0
1107015,RS Umum Montella,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Aceh Barat,6.0,,3.0,2.0,2.0,,,,2.0,,3.0,,,2.0,,,,,,,,,,,,,13.0,4,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1107016,RS Umum Harapan Sehat,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Aceh Barat,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,8.0,7,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1107017,RS Tingkat IV IM 07.02,RSU,RS Umum,D,TNI,RS Publik,Aceh,Aceh Barat,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,3,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1108015,RS Umum Daerah Kabupaten Aceh Besar,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Aceh Besar,18.0,6.0,3.0,1.0,3.0,1.0,,,1.0,,3.0,,,3.0,,1.0,,,1.0,1.0,,1.0,,8.0,,4.0,48.0,12,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,95.0,1,,,,,,,,,0,0,
1108017,RS Umum Ibnu Sina,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Aceh Besar,19.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,6.0,,1.0,28.0,5,21.74,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1108028,RS Hermina Aceh,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Aceh Besar,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1109016,RS Umum Daerah TGK Chik Ditiro Sigli,RSU,RS Umum,B,Pemkab,RS Publik,Aceh,Pidie,32.0,5.0,6.0,3.0,4.0,4.0,,,3.0,,6.0,,,4.0,,1.0,,,2.0,1.0,,4.0,,19.0,,16.0,97.0,12,52.17,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,,0.0,1.0,0.0,,,0.0,,1.0,False,5.0,5.0,75.0,1,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,4,4,100.0
1109027,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Pidie,23.0,5.0,3.0,3.0,4.0,3.0,,,3.0,,3.0,,,4.0,,,,,1.0,1.0,,2.0,,14.0,,8.0,67.0,11,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1109028,RS Umum Mufid,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Pidie,8.0,1.0,2.0,1.0,2.0,3.0,,,1.0,,2.0,,,2.0,,1.0,,,1.0,1.0,,1.0,,3.0,,2.0,26.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,,,,,,Sudah kerjasama BPJS,,2,2,100.0
1109029,RS Umum Citra Husada,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Pidie,20.0,2.0,3.0,4.0,3.0,2.0,,,4.0,,3.0,,,3.0,,1.0,,,1.0,1.0,,3.0,,4.0,,1.0,45.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1109031,RS Islam Ibnu Sina Sigli,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Pidie,8.0,1.0,3.0,1.0,3.0,1.0,,,1.0,,3.0,,,3.0,,,,,,,,2.0,,2.0,,3.0,24.0,9,39.13,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Sudah kerjasama BPJS,,,1,1,100.0
1109042,RS Umum Harapan Ibu,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Pidie,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1111005,RS Umum Prima Inti Medika,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Aceh Utara,6.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,2.0,,,1.0,,,,,1.0,,,3.0,,7.0,,4.0,28.0,10,43.48,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1111006,RS Umum Daerah dr. Muchtar Hasbi,RSU,RS Umum,D PRATAMA,Pemkab,RS Publik,Aceh,Aceh Utara,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,4.0,2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1111029,RS Zahra,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Aceh Utara,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1174016,RS Umum Cut Meutia Kab. Aceh Utara,RSU,RS Umum,B,Pemkab,RS Publik,Aceh,Aceh Utara,36.0,4.0,12.0,3.0,6.0,4.0,,,3.0,,12.0,,,6.0,,5.0,,1.0,2.0,2.0,,3.0,,29.0,,18.0,125.0,13,56.52,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,,3.0,0.0,0.0,,,0.0,,1.0,False,7.0,5.0,75.0,1,Sudah kerjasama BPJS,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,3,3,100.0
1101015,RS Umum Daerah Simeulue,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Simeulue,7.0,1.0,3.0,2.0,2.0,2.0,,,2.0,,3.0,,,2.0,,1.0,,,1.0,,,,,12.0,,12.0,43.0,10,43.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
