Kode_RS,Rumah_Sakit,Jenis,Jenis_Grup,Kelas,Penyelenggara,Penyelenggara_Kategori,Provinsi,Kab_Kota,Dokter,Dokter Gigi,Dokter Spesialis Penyakit Dalam (Sp.PD),Dokter Spesialis Obstetri & Ginekologi (Sp.OG),Dokter Spesialis Anak (Sp.A),Dokter Spesialis Bedah (Sp.B),Subspesialis Digestif,Subspesialis Onkologi,Dokter Spesialis Obstetri & Ginekologi (Sp.OG)_2,Subspesialis Onkologi ginekologi,Dokter Spesialis Penyakit Dalam (Sp.PD)_2,Subspesialis Hematologi onkologi,Subspesialis Gastroenterologi-hepatologi,Dokter Spesialis Anak (Sp.A)_2,Subspesialis Hematologi onkologi_2,Dokter Spesialis Paru  - Pulmonologi (Sp.P),Subspesialis Onkologi thoraks,Dokter Spesialis Patologi Anatomi (Sp.PA),Dokter Spesialis Patologi Klinik (SP.PK),Dokter Spesialis Radiologi (Sp.Rad),Dokter Spesialis Onkologi Radiasi (Sp.Onk.Rad),Dokter Spesialis Anastesiologi (Sp.An),Dokter Spesialis Nuklir (Sp.KN),Ahli Teknologi Laboratorium Medik (Analis Kesehatan),Fisikawan Medik,Radiografer,Total_SDM_Tercatat,Jumlah_Jenis_SDM_Tersedia,Kelengkapan_Data_SDM_pct,Brachytherapy,CT Scan 128,CT Scan 64,CT Simulator,CUSA,Cyclotron,Cytotoxic drug safety cabinet,Flowcytometer,IHK Manual,IHK Set,LINAC,Mammografi,Mikroskop fluoresen,Mikroskop microsurgery,MRI 1.5 Tesla,PET CT,Set Histopatologi,Slide Scanner / Digital Pathology,SPECT CT,"USG (Payudara, Abdomen, Ginekologi)",Jumlah_Record_Alkes_Raw,Duplikat_Alkes_Raw,Total_Unit_Alkes_Tercatat,Jumlah_Jenis_Alkes_Tersedia,Kelengkapan_Data_Alkes_pct,Ada_Data_Alkes,BPJS_Bedah Onko,BPJS_Bronkoskopi,BPJS_Kemo,BPJS_Kolonoskopi,BPJS_Mammografi,BPJS_Patologi Anatomi,BPJS_Patologi Klinik,BPJS_Radioterapi,Jumlah_Layanan_BPJS_Tercatat,Jumlah_Layanan_BPJS_Sudah,Persen_Layanan_BPJS_Sudah
1904014,RS Siloam Bangka,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Bangka Belitung,Bangka Tengah,13.0,3.0,2.0,1.0,2.0,3.0,,,1.0,,2.0,,,2.0,,1.0,,1.0,1.0,1.0,,2.0,,8.0,,4.0,42.0,13,56.52,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1904015,RS Pratama Bangka Tengah,RSU,RS Umum,D PRATAMA,Pemkab,RS Publik,Kepulauan Bangka Belitung,Bangka Tengah,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,10.0,4,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1904016,RS Bhayangkara Polda Kep. Bangka Belitung,RSU,RS Umum,D,POLRI,RS Publik,Kepulauan Bangka Belitung,Bangka Tengah,8.0,2.0,1.0,2.0,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,1.0,,,1.0,,4.0,,2.0,23.0,10,43.48,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1903002,RS Umum Bakti Timah Muntok,RSU,RS Umum,D,Swasta,RS Privat,Kepulauan Bangka Belitung,Bangka Barat,10.0,1.0,2.0,1.0,1.0,,,,1.0,,2.0,,,1.0,,,,,,,,1.0,,3.0,,1.0,20.0,8,34.78,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1903005,RS Gunung Manik,RSU,RS Umum,D,Swasta,RS Privat,Kepulauan Bangka Belitung,Bangka Barat,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,4.0,3,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1903013,RS Umum Daerah Sejiran Setason,RSU,RS Umum,C,Pemkab,RS Publik,Kepulauan Bangka Belitung,Bangka Barat,21.0,1.0,3.0,2.0,2.0,1.0,,,2.0,,3.0,,,2.0,,,,1.0,1.0,1.0,,1.0,,21.0,,9.0,64.0,12,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,,1.0,False,2.0,2.0,75.0,1,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1906014,RS Umum Daerah  Muhammad Zein,RSU,RS Umum,C,Pemkab,RS Publik,Kepulauan Bangka Belitung,Belitung Timur,24.0,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,,3.0,,,2.0,,,,1.0,2.0,1.0,,2.0,,13.0,,8.0,60.0,13,56.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,False,8.0,3.0,95.0,1,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1971002,RS Primaya Bhakti Wara,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Bangka Belitung,Kota Pangkal Pinang,12.0,,6.0,8.0,3.0,4.0,,,8.0,,6.0,,,3.0,,2.0,,,2.0,2.0,,3.0,,7.0,1.0,7.0,57.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1971003,RS Ibu dan Anak Muhaya,RSIA,RS Khusus,C,Swasta,RS Privat,Kepulauan Bangka Belitung,Kota Pangkal Pinang,7.0,,,5.0,2.0,,,,5.0,,,,,2.0,,,,,,1.0,,1.0,,4.0,,1.0,21.0,7,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1971004,RS Kalbu Intan Medika,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Bangka Belitung,Kota Pangkal Pinang,9.0,,2.0,,1.0,2.0,,1.0,,,2.0,,1.0,1.0,,,,,,1.0,,1.0,,3.0,1.0,1.0,23.0,11,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,,,,,,,,1,1,100.0
1971005,RS Ibu dan Anak Dzakirah,RSIA,RS Khusus,C,Swasta,RS Privat,Kepulauan Bangka Belitung,Kota Pangkal Pinang,3.0,,,1.0,2.0,,,,1.0,,,,,2.0,,,,,,,,1.0,,1.0,,,8.0,5,21.74,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1971006,RS Ibu dan Anak Rona,RSIA,RS Khusus,C,Swasta,RS Privat,Kepulauan Bangka Belitung,Kota Pangkal Pinang,4.0,,1.0,2.0,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,,,1.0,,,9.0,5,21.74,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Sudah kerjasama BPJS,,,,,,,1,1,100.0
1971021,RS Umum Daerah Depati Hamzah,RSU,RS Umum,C,Pemkot,RS Publik,Kepulauan Bangka Belitung,Kota Pangkal Pinang,26.0,,2.0,3.0,2.0,2.0,,,3.0,,2.0,,,2.0,1.0,2.0,,,2.0,1.0,,2.0,,21.0,2.0,12.0,78.0,13,56.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,,1.0,False,2.0,2.0,75.0,1,,,,,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,,2,2,100.0
1971043,RS Bakti Timah Pangkalpinang,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Bangka Belitung,Kota Pangkal Pinang,34.0,1.0,3.0,4.0,3.0,3.0,,,4.0,,3.0,,,3.0,,2.0,,1.0,1.0,1.0,,3.0,,11.0,1.0,6.0,74.0,14,60.87,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,Sudah kerjasama BPJS,,,,,1,1,100.0
2002002,RS Umum Daerah  Kabupaten Bintan,RSU,RS Umum,C,Pemkab,RS Publik,Kepulauan Riau,Bintan,26.0,3.0,2.0,2.0,3.0,3.0,,,2.0,,2.0,,,3.0,,1.0,,,1.0,1.0,,1.0,,14.0,,6.0,63.0,12,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,1.0,False,0.0,0.0,75.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2002010,RS Jiwa dan Ketergantungan Obat Engku Haji Daud,RSK Jiwa,RS Khusus,B,Pemprop,RS Publik,Kepulauan Riau,Bintan,16.0,2.0,2.0,2.0,3.0,1.0,,,2.0,,2.0,,,3.0,,,,,1.0,1.0,,1.0,,7.0,,5.0,41.0,11,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2001013,RS Umum Daerah Muhammad Sani Kabupaten Karimun,RSU,RS Umum,C,Pemkab,RS Publik,Kepulauan Riau,Karimun,25.0,5.0,3.0,1.0,2.0,2.0,,,1.0,,3.0,,,2.0,,1.0,,1.0,2.0,2.0,,2.0,,14.0,,18.0,78.0,13,56.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,,1.0,False,2.0,2.0,75.0,1,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,3,3,100.0
2001045,RS Umum Bhakti Timah,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Riau,Karimun,4.0,2.0,2.0,1.0,1.0,2.0,,,1.0,,2.0,,,1.0,,,,,1.0,1.0,,1.0,,,,2.0,17.0,10,43.48,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2101003,RS Umum Daerah Tanjung Batu Kundur,RSU,RS Umum,D PRATAMA,Pemkab,RS Publik,Kepulauan Riau,Karimun,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,15.0,4,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2101014,RSUD TANJUNG BATU KUNDUR,RSU,RS Umum,D PRATAMA,Pemkab,RS Publik,Kepulauan Riau,Karimun,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2003011,RS Umum Daerah Natuna,RSU,RS Umum,C,Pemkab,RS Publik,Kepulauan Riau,Natuna,18.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,,,2.0,,,,,2.0,1.0,,,,12.0,1.0,8.0,49.0,11,47.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,1.0,False,1.0,1.0,75.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2003056,RSAU dr. Yuniati Wisma Karyani,RSU,RS Umum,D,TNI,RS Publik,Kepulauan Riau,Natuna,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,7.0,4,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2004012,RS Umum Daerah Dabo Kabupaten Lingga,RSU,RS Umum,C,Pemkab,RS Publik,Kepulauan Riau,Lingga,8.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,2.0,,,1.0,,,,,,,,1.0,,7.0,,1.0,23.0,9,39.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,2.0,2.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2004136,RS Umum Daerah Encik Mariyam,RSU,RS Umum,D,Pemkab,RS Publik,Kepulauan Riau,Lingga,10.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,6.0,,1.0,22.0,8,34.78,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2003125,RS Umum Daerah Palmatak,RSU,RS Umum,D,Pemkab,RS Publik,Kepulauan Riau,Kepulauan Anambas,7.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,3.0,,2.0,17.0,8,34.78,,,,,,,,,,,,,,,,,,,,,1.0,False,,0.0,0.0,1,,,,,,Sudah kerjasama BPJS,,,1,1,100.0
2005002,RS Umum Daerah Bergerak Jemaja,RSU,RS Umum,D,Pemkab,RS Publik,Kepulauan Riau,Kepulauan Anambas,9.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,1.0,15.0,6,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,1.0,95.0,1,,,,,,,,,0,0,
2105005,RS Umum Daerah Tarempa,RSU,RS Umum,D,Pemkab,RS Publik,Kepulauan Riau,Kepulauan Anambas,15.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,5.0,,4.0,28.0,7,30.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,False,2.0,1.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071012,RS Umum Budi Kemuliaan Batam,RSU,RS Umum,B,Swasta Non Profit,RS Publik,Kepulauan Riau,Kota Batam,47.0,1.0,3.0,3.0,4.0,4.0,,,3.0,,3.0,,,4.0,,2.0,,1.0,1.0,3.0,,3.0,,5.0,,9.0,86.0,13,56.52,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,Sudah kerjasama BPJS,,,,,1,1,100.0
2071015,RS Umum Santa Elisabeth Batam,RSU,RS Umum,C,Swasta Non Profit,RS Publik,Kepulauan Riau,Kota Batam,14.0,3.0,4.0,3.0,2.0,3.0,,,3.0,,4.0,,,2.0,,2.0,,,1.0,2.0,,2.0,,10.0,,7.0,53.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071023,RS Umum Harapan Bunda Batam,RSU,RS Umum,C,Swasta Non Profit,RS Publik,Kepulauan Riau,Kota Batam,14.0,2.0,3.0,3.0,3.0,2.0,,,3.0,,3.0,,,3.0,,1.0,,,,1.0,,2.0,,,1.0,2.0,34.0,11,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071034,RS Badan Pengusahaan Batam,RSU,RS Umum,B,Kementerian Lain,RS Publik,Kepulauan Riau,Kota Batam,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,6,6,100.0
2071037,RS Umum Charis Medika,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,9.0,1.0,1.0,3.0,3.0,2.0,,,3.0,,1.0,,,3.0,,1.0,,,1.0,,,2.0,,3.0,,1.0,27.0,11,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071048,RS Ibu dan Anak Mutiara Aini,RSIA,RS Khusus,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,4.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,6.0,,1.0,24.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2071050,RS Umum Graha Hermine,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,17.0,2.0,3.0,4.0,1.0,2.0,,,4.0,,3.0,,,1.0,,,,,1.0,1.0,,5.0,,10.0,1.0,8.0,55.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071053,RS Umum Santa Elisabeth Batam Kota,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,21.0,3.0,3.0,2.0,3.0,2.0,,,2.0,,3.0,,,3.0,,2.0,,,1.0,1.0,,2.0,,15.0,,9.0,64.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071054,RS Ibu dan  Anak Griya Medika Batam,RSIA,RS Khusus,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,4.0,1.0,1.0,2.0,2.0,1.0,,,2.0,,1.0,,,2.0,,,,,1.0,,,1.0,,,,,13.0,8,34.78,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071056,RS Umum Camatha Sahidya,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,7.0,,3.0,3.0,3.0,3.0,,,3.0,,3.0,,,3.0,,1.0,,,1.0,1.0,,2.0,,6.0,,5.0,35.0,11,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071057,RS Ibu dan Anak Frisdhy Angel,RSIA,RS Khusus,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,4.0,,,3.0,2.0,,,,3.0,,,,,2.0,,,,,1.0,,,2.0,,3.0,,,15.0,6,26.09,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2071059,RS Umum Soedarsono Darmosoewito,RSU,RS Umum,C,Swasta Non Profit,RS Publik,Kepulauan Riau,Kota Batam,10.0,,1.0,2.0,2.0,3.0,,,2.0,,1.0,,,2.0,,,,,1.0,1.0,,2.0,,4.0,,3.0,29.0,10,43.48,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2071103,RS Umum Awal Bros Batam,RSU,RS Umum,B,Swasta,RS Privat,Kepulauan Riau,Kota Batam,34.0,6.0,6.0,7.0,9.0,5.0,,1.0,7.0,,6.0,,,9.0,,2.0,,2.0,2.0,3.0,,4.0,,20.0,,10.0,111.0,14,60.87,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,7,7,100.0
2071114,RS Umum Daerah Embung Fatimah Kota Batam,RSU,RS Umum,B,Pemkot,RS Publik,Kepulauan Riau,Kota Batam,42.0,4.0,3.0,3.0,4.0,4.0,,,3.0,,3.0,,,4.0,,3.0,,4.0,4.0,1.0,,4.0,,15.0,,9.0,100.0,13,56.52,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,,1.0,False,3.0,3.0,75.0,1,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,6,6,100.0
2171061,RS Bhayangkara Batam Polda Kepri,RSU,RS Umum,D,POLRI,RS Publik,Kepulauan Riau,Kota Batam,5.0,,2.0,1.0,2.0,2.0,,,1.0,,2.0,,,2.0,,,,,,1.0,,,,5.0,,3.0,21.0,8,34.78,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2171062,RS Keluarga Husada Batam,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,9.0,2.0,4.0,2.0,,1.0,,,2.0,,4.0,,,,,,,,1.0,,,,,4.0,,2.0,25.0,8,34.78,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2171063,RS Ibu dan Anak Kasih Sayang Ibu,RSIA,RS Khusus,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,,1.0,,2.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,4.0,3,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2171064,RS Santa Elisabeth Sei Lekop,RSU,RS Umum,D,Swasta,RS Privat,Kepulauan Riau,Kota Batam,10.0,1.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,,,2.0,,1.0,,,1.0,1.0,,1.0,,5.0,,2.0,28.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2171065,RS Hj. Bunda Halimah Batam,RSU,RS Umum,B,Swasta,RS Privat,Kepulauan Riau,Kota Batam,17.0,1.0,4.0,3.0,2.0,2.0,,,3.0,,4.0,,,2.0,,2.0,,,2.0,1.0,,4.0,,3.0,,5.0,46.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2171077,RS Jasmine,RSU,RS Umum,D,Swasta,RS Privat,Kepulauan Riau,Kota Batam,4.0,1.0,1.0,1.0,1.0,3.0,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,12.0,7,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
2171078,RS Awal Bros Botania,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,16.0,4.0,4.0,3.0,5.0,3.0,,,3.0,,4.0,,,5.0,,1.0,,,1.0,1.0,,3.0,,6.0,,1.0,48.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,Sudah kerjasama BPJS,,,Sudah kerjasama BPJS,,2,2,100.0
2171083,RS Mutiara Aini,RSU,RS Umum,C,Swasta,RS Privat,Kepulauan Riau,Kota Batam,7.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,16.0,9,39.13,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2072002,RS Umum Daerah Raja Ahmad Tabib,RSU,RS Umum,B,Pemprop,RS Publik,Kepulauan Riau,Kota Tanjung Pinang,53.0,2.0,3.0,4.0,4.0,5.0,,,4.0,,3.0,,,4.0,,3.0,,2.0,3.0,3.0,2.0,5.0,,24.0,,18.0,131.0,14,60.87,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,,1.0,1.0,0.0,,,0.0,,1.0,False,8.0,8.0,75.0,1,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,6,6,100.0
2072012,RS Umum Daerah Kota Tanjung Pinang,RSU,RS Umum,C,Pemkot,RS Publik,Kepulauan Riau,Kota Tanjung Pinang,27.0,3.0,4.0,2.0,3.0,3.0,,,2.0,,4.0,,,3.0,,1.0,,,1.0,1.0,,1.0,,13.0,1.0,9.0,69.0,13,56.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,False,2.0,1.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
2072023,Rumkital dr. Midiyato Suratani,RSU,RS Umum,B,TNI,RS Publik,Kepulauan Riau,Kota Tanjung Pinang,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,,,Sudah kerjasama BPJS,,,Sudah kerjasama BPJS,,3,3,100.0
3101002,RS Umum Daerah Kepulauan Seribu,RSU,RS Umum,D,Pemprop,RS Publik,DKI Jakarta,Kepulauan Seribu,8.0,1.0,2.0,2.0,3.0,1.0,,,2.0,,2.0,,,3.0,,,,,1.0,1.0,,1.0,,6.0,,4.0,30.0,11,47.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,False,3.0,2.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
3171768,RS Umum Murni Teguh Sudirman Jakarta,RSU,RS Umum,C,Swasta,RS Privat,DKI Jakarta,Kota Jakarta Pusat,24.0,5.0,5.0,2.0,4.0,4.0,,,2.0,,5.0,,,4.0,,4.0,,1.0,2.0,2.0,,2.0,,8.0,,7.0,70.0,13,56.52,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,,2,2,100.0
3173014,RSUPN Dr. Cipto Mangunkusumo,RSU,RS Umum,A,Kemkes,RS Publik,DKI Jakarta,Kota Jakarta Pusat,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,,1.0,4.0,3.0,,9.0,2.0,1.0,,,1.0,,1.0,False,30.0,13.0,75.0,1,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Belum kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Belum kerjasama BPJS,7,5,71.43
3173025,RS Umum PAD Gatot Soebroto,RSU,RS Umum,A,TNI,RS Publik,DKI Jakarta,Kota Jakarta Pusat,87.0,12.0,16.0,16.0,14.0,4.0,8.0,6.0,16.0,3.0,16.0,2.0,3.0,14.0,,9.0,3.0,6.0,11.0,7.0,2.0,14.0,,86.0,4.0,36.0,349.0,21,91.3,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Belum kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,6,5,83.33
3173036,RS Umum AL Dr. Mintoharjo,RSU,RS Umum,B,TNI,RS Publik,DKI Jakarta,Kota Jakarta Pusat,83.0,2.0,8.0,6.0,3.0,5.0,,1.0,6.0,,8.0,,,3.0,,4.0,,2.0,1.0,2.0,,6.0,,13.0,,25.0,161.0,14,60.87,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Belum kerjasama BPJS,Sudah kerjasama BPJS,Belum kerjasama BPJS,Sudah kerjasama BPJS,,6,4,66.67
3173040,RS Umum Husada,RSU,RS Umum,B,Swasta,RS Privat,DKI Jakarta,Kota Jakarta Pusat,47.0,5.0,15.0,8.0,9.0,7.0,,2.0,8.0,,15.0,,,9.0,,4.0,,2.0,3.0,3.0,,6.0,,20.0,1.0,13.0,145.0,15,65.22,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Belum kerjasama BPJS,Sudah kerjasama BPJS,Belum kerjasama BPJS,Sudah kerjasama BPJS,,6,4,66.67
3173051,RS Umum Sint Carolus,RSU,RS Umum,B,Swasta Non Profit,RS Publik,DKI Jakarta,Kota Jakarta Pusat,45.0,3.0,13.0,6.0,10.0,5.0,3.0,2.0,6.0,1.0,13.0,1.0,1.0,10.0,,4.0,,1.0,4.0,5.0,,5.0,,32.0,,14.0,155.0,18,78.26,,,,,,,,,,,,,,,,,,,,,,,,,,0,Sudah kerjasama BPJS,,,,Sudah kerjasama BPJS,Belum kerjasama BPJS,Sudah kerjasama BPJS,,4,3,75.0
