Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RS Siloam Jambi,1571147,Sudah kerjasama BPJS,Mammografi,RS Siloam Jambi,Jambi,Kota Jambi,1
RS Umum Daerah KH. Daud Arif,1507010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah KH. Daud Arif,Jambi,Tanjung Jabung Barat,1
RS Tk. III 02.06.01 dr. Bratanata,1571023,Sudah kerjasama BPJS,Mammografi,RS Tk. III 02.06.01  dr. Bratanata,Jambi,Kota Jambi,1
RS Umum Daerah Cileungsi,3201232,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Cileungsi,Jawa Barat,Bogor,1
RS Umum Sentra Medika Cibinong,3201230,Sudah kerjasama BPJS,Mammografi,RS Umum Sentra Medika Cibinong,Jawa Barat,Bogor,1
RS Primaya Sukabumi,3202088,Sudah kerjasama BPJS,Mammografi,RS Primaya Sukabumi,Jawa Barat,Sukabumi,1
RS EMC Cibitung,3216443,Sudah kerjasama BPJS,Mammografi,RS EMC Cibitung,Jawa Barat,Bekasi,1
RS Umum Medika Dramaga,3201236,Sudah kerjasama BPJS,Mammografi,RS Umum Medika Dramaga,Jawa Barat,Kota Bogor,1
RS Umum Daerah Kota Bogor,3271104,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kota Bogor,Jawa Barat,Kota Bogor,1
RS Umum Santo Borromeus,3273074,Sudah kerjasama BPJS,Mammografi,RS Umum Santo Borromeus,Jawa Barat,Kota Bandung,1
RS Umum Sumber Kasih,3274090,Sudah kerjasama BPJS,Mammografi,RS Umum Sumber Kasih,Jawa Barat,Kota Cirebon,1
RS Umum Hermina Bekasi,3275115,Sudah kerjasama BPJS,Mammografi,RS Umum Hermina Bekasi,Jawa Barat,Kota Bekasi,1
RS PRIMAYA BEKASI BARAT,3275392,Sudah kerjasama BPJS,Mammografi,RS Primaya,Jawa Barat,Kota Bekasi,1
RS Umum Hermina Depok,3201126,Sudah kerjasama BPJS,Mammografi,RS Umum Hermina Depok,Jawa Barat,Kota Depok,1
RS Umum Sentra Medika,3276017,Sudah kerjasama BPJS,Mammografi,RS Umum Sentra Medika,Jawa Barat,Kota Depok,1
RS Universitas Indonesia,3201256,Sudah kerjasama BPJS,Mammografi,RS Universitas Indonesia,Jawa Barat,Kota Depok,1
RS Primaya Depok,3276167,Sudah kerjasama BPJS,Mammografi,RS Primaya Depok,Jawa Barat,Kota Depok,1
RS Umum Daerah Majalaya,3204016,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Majalaya,Jawa Barat,Bandung,1
RS Umum Tk. II Dustira,3277031,Sudah kerjasama BPJS,Mammografi,RS Umum Tk. II Dustira,Jawa Barat,Kota Cimahi,1
RS Umum Daerah dr. Slamet Garut,3205010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah dr. Slamet Garut,Jawa Barat,Garut,1
RS Umum Al-Islam Bandung,3273420,Sudah kerjasama BPJS,Mammografi,RS Umum Al-Islam Bandung,Jawa Barat,Kota Bandung,1
RS Umum Daerah Khidmat Sehat Afiat Kota Depok,3276124,Belum kerjasama BPJS,Mammografi,RS Umum Daerah Khidmat Sehat Afiat Kota Depok,Jawa Barat,Kota Depok,0
RS Umum Daerah Bandung Kiwari,3273260,Belum kerjasama BPJS,Mammografi,RS Umum Daerah Bandung Kiwari,Jawa Barat,Kota Bandung,0
"RS Umum Daerah R. Syamsudin, SH",3272014,Belum kerjasama BPJS,Mammografi,"RS Umum Daerah R. Syamsudin, SH",Jawa Barat,Kota Sukabumi,0
RS Umum Daerah Bayu Asih,3214011,Belum kerjasama BPJS,Mammografi,RS Umum Daerah Bayu Asih,Jawa Barat,Purwakarta,0
RSAU dr. M. Salamun,3273030,Belum kerjasama BPJS,Mammografi,RSAU dr. M. Salamun,Jawa Barat,Kota Bandung,0
RS Umum Daerah Cibinong,3201046,Belum kerjasama BPJS,Mammografi,RS Umum Daerah Cibinong,Jawa Barat,Bogor,0
RS Umum Daerah Ciawi,3201050,Belum kerjasama BPJS,Mammografi,RS Umum Daerah Ciawi,Jawa Barat,Bogor,0
RS Umum Daerah Al Ihsan Provinsi Jawa Barat,3204086,Belum kerjasama BPJS,Mammografi,RS Umum Daerah Al Ihsan Provinsi Jawa Barat,Jawa Barat,Bandung,0
RS Umum Pusat Dr. Hasan Sadikin,3273015,Belum kerjasama BPJS,Mammografi,RS Umum Pusat Dr. Hasan Sadikin,Jawa Barat,Kota Bandung,0
RS Umum Harapan Keluarga,3211027,Belum kerjasama BPJS,Mammografi,RS Umum Harapan Keluarga,Jawa Barat,Sumedang,0
RS Umum Santosa Hospital Bandung Central,3273486,Belum kerjasama BPJS,Mammografi,RS Umum Santosa Hospital Bandung Central,Jawa Barat,Kota Bandung,0
RS Umum Daerah Karawang,3215012,Belum kerjasama BPJS,Mammografi,RS Umum Daerah Karawang,Jawa Barat,Karawang,0
RS Umum Daerah dr. Soekardjo,3206011,Belum kerjasama BPJS,Mammografi,RS Umum Daerah dr. Soekardjo,Jawa Barat,Kota Tasikmalaya,0
RS Umum Mitra Plumbon,3209051,Belum kerjasama BPJS,Mammografi,RS Umum Mitra Plumbon,Jawa Barat,Cirebon,0
RS Umum Daerah 45 Kuningan,3208013,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah 45 Kuningan,Jawa Barat,Kuningan,1
RS Umum Daerah Kab. Indramayu,3212016,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kab. Indramayu,Jawa Barat,Indramayu,1
RS Umum Aghisna Medika Kroya,3301108,Sudah kerjasama BPJS,Mammografi,RS Umum Aghisna Medika Kroya,Jawa Tengah,Cilacap,1
RS Umum Pusat Surakarta,3372201,Sudah kerjasama BPJS,Mammografi,RS Umum Pusat Surakarta,Jawa Tengah,Kota Surakarta,1
RS Umum Daerah dr. Soehadi Prijonegoro,3314012,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah dr. Soehadi Prijonegoro,Jawa Tengah,Sragen,1
RS Umum Daerah R. A. Kartini,3320010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah R. A. Kartini,Jawa Tengah,Jepara,1
RS Umum Islam Harapan Anda,3376082,Sudah kerjasama BPJS,Mammografi,RS Umum Islam Harapan Anda,Jawa Tengah,Kota Tegal,1
RS Umum Daerah Prembun,3305120,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Prembun,Jawa Tengah,Kebumen,1
RS Umum Islam Klaten,3310384,Sudah kerjasama BPJS,Mammografi,RS Umum Islam Klaten,Jawa Tengah,Klaten,1
RS Umum Daerah Hj. Anna Lasmanah Banjarnegara,3304010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Hj. Anna Lasmanah Banjarnegara,Jawa Tengah,Banjarnegara,1
RS Paru Dr. Ario Wirawan,3373042,Sudah kerjasama BPJS,Mammografi,RS Paru Dr. Ario Wirawan,Jawa Tengah,Kota Salatiga,1
RS Umum Daerah Kraton Kab. Pekalongan,3326011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kraton Kab. Pekalongan,Jawa Tengah,Pekalongan,1
RS Umum Daerah Kardinah,3376012,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kardinah ,Jawa Tengah,Kota Tegal,1
RS Umum Dadi Keluarga,3302229,Sudah kerjasama BPJS,Mammografi,RS Umum Dadi Keluarga,Jawa Tengah,Banyumas,1
RS Umum Universitas Sebelas Maret,3311228,Sudah kerjasama BPJS,Mammografi,RS Umum Universitas Sebelas Maret,Jawa Tengah,Sukoharjo,1
RS Umum Daerah Brebes,3329012,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Brebes,Jawa Tengah,Brebes,1
RS Umum Anugerah Pekalongan,3375072,Sudah kerjasama BPJS,Mammografi,RS Umum Anugerah Pekalongan,Jawa Tengah,Kota Pekalongan,1
RS Umum St. Elisabeth Semarang,3374021,Sudah kerjasama BPJS,Mammografi,RS Umum St. Elisabeth Semarang,Jawa Tengah,Kota Semarang,1
RS Umum Daerah Tidar,3371014,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Tidar,Jawa Tengah,Kota Magelang,1
RS Umum Daerah Djojonegoro Temanggung,3323013,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Djojonegoro Temanggung,Jawa Tengah,Temanggung,1
RS Umum Kasih Ibu,3372165,Sudah kerjasama BPJS,Mammografi,RS Umum Kasih Ibu,Jawa Tengah,Kota Surakarta,1
RS umum Daerah Banyumas,3302015,Sudah kerjasama BPJS,Mammografi,RS umum Daerah Banyumas,Jawa Tengah,Banyumas,1
RS Daerah KRMT Wongsonegoro,3374342,Sudah kerjasama BPJS,Mammografi,RS Daerah KRMT Wongsonegoro,Jawa Tengah,Kota Semarang,1
RS Umum Dr. Oen,3372026,Sudah kerjasama BPJS,Mammografi,RS Umum Dr. Oen,Jawa Tengah,Kota Surakarta,1
RS Umum Ken Saras,3322034,Sudah kerjasama BPJS,Mammografi,RS Umum Ken Saras,Jawa Tengah,Semarang,1
RS PKU Muhammadiyah Surakarta,3372096,Sudah kerjasama BPJS,Mammografi,RS PKU Muhammadiyah Surakarta,Jawa Tengah,Kota Surakarta,1
RS Umum Indriati,3311229,Sudah kerjasama BPJS,Mammografi,RS Umum Indriati,Jawa Tengah,Sukoharjo,1
RS Umum Daerah Prof Dr. Margono Soekarjo,3302026,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Prof Dr. Margono Soekarjo,Jawa Tengah,Banyumas,1
RS Umum Daerah Dr. Moewardi Surakarta,3372015,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Moewardi Surakarta,Jawa Tengah,Kota Surakarta,1
RS Umum Islam Purwokerto,3302132,Sudah kerjasama BPJS,Mammografi,RS Umum Islam Purwokerto,Jawa Tengah,Banyumas,1
RS Umum Daerah Kota Salatiga,3373016,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kota Salatiga,Jawa Tengah,Kota Salatiga,1
RS Umum Daerah Sunan Kalijaga,3321011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Sunan Kalijaga,Jawa Tengah,Demak,1
RS Umum Pusat Dr. Kariadi,3374010,Sudah kerjasama BPJS,Mammografi,RS Umum Pusat Dr. Kariadi,Jawa Tengah,Kota Semarang,1
RS Umum Telogorejo Semarang,3374043,Sudah kerjasama BPJS,Mammografi,RS Umum Telogorejo Semarang,Jawa Tengah,Kota Semarang,1
RS Umum Daerah Pandan Arang Boyolali,3309015,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Pandan Arang Boyolali,Jawa Tengah,Boyolali,1
RS Umum Daerah Dr. Soediran Mangun Sumarso Wonogi,3312010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Soediran Mangun Sumarso Wonogi,Jawa Tengah,Wonogiri,1
RS Umum Daerah Nganjuk,3518011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Nganjuk,Jawa Timur,Nganjuk,1
RS Umum Daerah Mardi Waluyo,3572010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Mardi Waluyo,Jawa Timur,Kota Blitar,1
RS Umum Daerah Dr. R. Soedarsono Kota Pasuruan,3575013,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. R. Soedarsono Kota Pasuruan,Jawa Timur,Kota Pasuruan,1
RS Umum Daerah Ngudi Waluyo Wlingi,3505013,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Ngudi Waluyo Wlingi,Jawa Timur,Blitar,1
RS Umum Daerah Ibnu Sina Kab. Gresik,3525010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Ibnu Sina Kab. Gresik,Jawa Timur,Gresik,1
RS Siloam Jember,3509140,Sudah kerjasama BPJS,Mammografi,RS Siloam Jember,Jawa Timur,Jember,1
RS Umum Daerah Dr. Soedono Madiun,3577015,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Soedono Madiun,Jawa Timur,Kota Madiun,1
RS Semen Gresik,3525021,Sudah kerjasama BPJS,Mammografi,RS Semen Gresik,Jawa Timur,Gresik,1
RS Umum Anwar Medika,3515121,Sudah kerjasama BPJS,Mammografi,RS Umum Anwar Medika ,Jawa Timur,Sidoarjo,1
RS Umum Tk. III Brawijaya,3578122,Sudah kerjasama BPJS,Mammografi,RS Umum Tk. III Brawijaya,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Kabupaten Kediri,3506014,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kabupaten Kediri,Jawa Timur,Kediri,1
RS Umum Islam Surabaya Jemursari,3578224,Sudah kerjasama BPJS,Mammografi,RS Umum Islam Surabaya Jemursari ,Jawa Timur,Kota Surabaya,1
RS Bhayangkara TK II HS. Samsoeri Mertojoso,3578764,Sudah kerjasama BPJS,Mammografi,RS Bhayangkara TK II HS. Samsoeri Mertojoso,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Bhakti Dharma Husada,3578213,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Bhakti Dharma Husada,Jawa Timur,Kota Surabaya,1
RS Umum Bhayangkara Kediri,3571031,Sudah kerjasama BPJS,Mammografi,RS Umum Bhayangkara Kediri,Jawa Timur,Kota Kediri,1
RS Umum dr. H.Koesnadi Bondowoso,3511011,Sudah kerjasama BPJS,Mammografi,RS Umum dr. H.Koesnadi Bondowoso,Jawa Timur,Bondowoso,1
RS Tk. II Dr. Soepraoen,3573022,Sudah kerjasama BPJS,Mammografi,RS Tk. II Dr. Soepraoen,Jawa Timur,Kota Malang,1
RS Umum Daerah Syarifah Ambami Rato Ebu,3526011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Syarifah Ambami Rato Ebu,Jawa Timur,Bangkalan,1
RS Umum Daerah Dr. R. Koesma Tuban,3523015,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. R. Koesma Tuban,Jawa Timur,Tuban,1
RS Umum Daerah dr. H. Moh. Anwar,3529014,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah dr. H. Moh. Anwar ,Jawa Timur,Sumenep,1
RS Umum Daerah Kab. Jombang,3517010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kab. Jombang,Jawa Timur,Jombang,1
RS Umum Daerah dr. Mohamad Soewandhie,3578571,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah dr. Mohamad Soewandhie,Jawa Timur,Kota Surabaya,1
RS Husada Utama Surabaya,3578560,Sudah kerjasama BPJS,Mammografi,RS Husada Utama Surabaya,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Haji Provinsi Jawa Timur,3578523,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Haji Provinsi Jawa Timur,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Dr. Soebandi,3509010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Soebandi,Jawa Timur,Jember,1
RS Umum Siloam Hospitals Surabaya,3578443,Sudah kerjasama BPJS,Mammografi,RS Umum Siloam Hospitals Surabaya,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Gambiran,3571016,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Gambiran,Jawa Timur,Kota Kediri,1
RS Daerah Dr. Haryoto Kabupaten Lumajang,3508016,Sudah kerjasama BPJS,Mammografi,RS Daerah Dr. Haryoto Kabupaten Lumajang,Jawa Timur,Lumajang,1
RS Umum Daerah Dr. Saiful Anwar,3573011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Saiful Anwar,Jawa Timur,Kota Malang,1
RS Islam Lumajang,3508056,Sudah kerjasama BPJS,Mammografi,RS Islam Lumajang,Jawa Timur,Lumajang,1
RS Umum Daerah Kota Madiun,3577085,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kota Madiun,Jawa Timur,Kota Madiun,1
RSUD dr. Wahidin Sudiro Husodo Kota Mojokerto,3576014,Sudah kerjasama BPJS,Mammografi,RSUD dr. Wahidin Sudiro Husodo Kota Mojokerto,Jawa Timur,Kota Mojokerto,1
RS Umum Daerah Blambangan,3510010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Blambangan,Jawa Timur,Banyuwangi,1
RSPAL dr. Ramelan,3578020,Sudah kerjasama BPJS,Mammografi,RSPAL dr. Ramelan,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Dr. Soetomo,3578016,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Soetomo,Jawa Timur,Kota Surabaya,1
RS Umum Daerah Kanjuruhan Kepanjen Kab. Malang,3507052,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kanjuruhan Kepanjen Kab. Malang,Jawa Timur,Malang,1
RS Islam Darus Syifa,3578742,Sudah kerjasama BPJS,Mammografi,RS Islam Darus Syifa,Jawa Timur,Kota Surabaya,1
RS Umum Karsa Husada Kota Batu,3579030,Sudah kerjasama BPJS,Mammografi,RS Umum Karsa Husada Kota Batu ,Jawa Timur,Kota Batu,1
RS Universitas Tanjungpura,6171139,Sudah kerjasama BPJS,Mammografi,RS Universitas Tanjungpura,Kalimantan Barat,Kota Pontianak,1
RS Umum Daerah Dr. Soedarso Pontianak,6171011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Soedarso Pontianak,Kalimantan Barat,Kota Pontianak,1
RS Umum Daerah Pangeran Jaya Sumitra,6302014,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Pangeran Jaya Sumitra,Kalimantan Selatan,Kota baru,1
RS Umum Daerah Brigjed H. Hasan Basry Kandangan,6306011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Brigjed H. Hasan Basry Kandangan,Kalimantan Selatan,Hulu Sungai Selatan,1
RS Umum Daerah Ratu Zalecha,6303015,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Ratu Zalecha,Kalimantan Selatan,Banjar,1
RS Umum Daerah Dr. H. Moch. Ansari Saleh,6371072,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. H. Moch. Ansari Saleh,Kalimantan Selatan,Kota Banjarmasin,1
RS Umum Daerah Dr Murjani Sampit,6202013,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr Murjani Sampit,Kalimantan Tengah,Kotawaringin Timur,1
RS Umum Daerah Dr. Doris Sylvanus Palangka Raya,6271012,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Doris Sylvanus Palangka Raya,Kalimantan Tengah,Kota Palangka Raya,1
RS Umum Daerah Taman Husada Bontang,6474032,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Taman Husada Bontang,Kalimantan Timur,Kota Bontang,1
RS Umum Daerah Ratu Aji Putri Botung,6409036,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Ratu Aji Putri Botung,Kalimantan Timur,Penajam Paser Utara,1
RS Pupuk Kaltim,6474021,Sudah kerjasama BPJS,Mammografi,RS Pupuk Kaltim,Kalimantan Timur,Kota Bontang,1
RS Siloam Hospitals Balikpapan,6471075,Sudah kerjasama BPJS,Mammografi,RS Siloam Hospitals Balikpapan,Kalimantan Timur,Kota Balikpapan,1
RS Pertamina Balikpapan,6471025,Sudah kerjasama BPJS,Mammografi,RS Pertamina Balikpapan,Kalimantan Timur,Kota Balikpapan,1
RS Umum Daerah Dr. Kanujoso Djatiwibowo,6471014,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr. Kanujoso Djatiwibowo,Kalimantan Timur,Kota Balikpapan,1
RS Umum Daerah Kabupaten Malinau,6406012,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Kabupaten Malinau ,Kalimantan Utara,Malinau,1
RS Umum Daerah dr.H. Jusuf SK,6473016,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah dr.H. Jusuf SK,Kalimantan Utara,Kota Tarakan,1
RS Umum Daerah Depati Hamzah,1971021,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Depati Hamzah,Kepulauan Bangka Belitung,Kota Pangkal Pinang,1
RS Umum Daerah Depati Bahrin,1901016,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Depati Bahrin,Kepulauan Bangka Belitung,Bangka,1
RS Umum Daerah dr. H. Marsidi Judono,1902010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah dr. H. Marsidi Judono,Kepulauan Bangka Belitung,Belitung,1
RS Umum Daerah Raja Ahmad Tabib,2072002,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Raja Ahmad Tabib,Kepulauan Riau,Kota Tanjung Pinang,1
RS Umum Awal Bros Batam,2071103,Sudah kerjasama BPJS,Mammografi,RS Umum Awal Bros Batam,Kepulauan Riau,Kota Batam,1
RS Badan Pengusahaan Batam,2071034,Sudah kerjasama BPJS,Mammografi,RS Badan Pengusahaan Batam,Kepulauan Riau,Kota Batam,1
RS Umum Daerah Muhammad Sani Kabupaten Karimun,2001013,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Muhammad Sani Kabupaten Karimun,Kepulauan Riau,Karimun,1
RS Umum Daerah Embung Fatimah Kota Batam,2071114,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Embung Fatimah Kota Batam,Kepulauan Riau,Kota Batam,1
RS Umum Daerah Dr H Abdul Moeloek,1801017,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Dr H Abdul Moeloek,Lampung,Kota Bandar Lampung,1
RS Umum Dr. M. Haulussy Ambon,8171015,Sudah kerjasama BPJS,Mammografi,RS Umum Dr. M. Haulussy Ambon,Maluku,Kota Ambon,1
RS Umum Pusat Dr. Johannes Leimena Ambon,8171123,Sudah kerjasama BPJS,Mammografi,RS Umum Pusat Dr. Johannes Leimena Ambon,Maluku,Kota Ambon,1
RS Umum Daerah Provinsi NTB,5271010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Provinsi NTB,Nusa Tenggara Barat,Kota Mataram,1
RS Umum Daerah Patut Patuh Patju,5201010,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Patut Patuh Patju,Nusa Tenggara Barat,Lombok Barat,1
RS Umum Pusat dr. Ben Mboi,5303056,Sudah kerjasama BPJS,Mammografi,RS Umum Pusat dr. Ben Mboi,Nusa Tenggara Timur,Kota Kupang,1
RS Umum Prof. Dr. WZ Johanes,5371011,Sudah kerjasama BPJS,Mammografi,RS Umum Prof. Dr. WZ Johanes,Nusa Tenggara Timur,Kota Kupang,1
RS Siloam Kupang,5303028,Sudah kerjasama BPJS,Mammografi,RS Siloam Kupang,Nusa Tenggara Timur,Kota Kupang,1
RS Dian Harapan,9271056,Sudah kerjasama BPJS,Mammografi,RS Dian Harapan,Papua,Kota Jayapura,1
RS Umum Biak,9205015,Sudah kerjasama BPJS,Mammografi,RS Umum Biak,Papua,Biak Numfor,1
RS Umum Daerah Yowari Sentani,9271078,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Yowari Sentani,Papua,Jayapura,1
RS Umum Merauke,9201012,Sudah kerjasama BPJS,Mammografi,RS Umum Merauke,Papua Selatan,Merauke,1
RS Umum Awal Bros Pekanbaru,1471226,Sudah kerjasama BPJS,Mammografi,RS Umum  Awal Bros Pekanbaru,Riau,Kota Pekanbaru,1
RS Umum Awal Bros Panam,1471390,Sudah kerjasama BPJS,Mammografi,RS Umum  Awal Bros Panam,Riau,Kota Pekanbaru,1
RS Umum Eka Hospital Pekanbaru,1471067,Sudah kerjasama BPJS,Mammografi,RS Umum  Eka Hospital Pekanbaru,Riau,Kota Pekanbaru,1
RS Awal Bros A. Yani,1471384,Sudah kerjasama BPJS,Mammografi,RS Awal Bros A. Yani,Riau,Kota Pekanbaru,1
RS Hermina Pekanbaru,1471399,Sudah kerjasama BPJS,Mammografi,RS Hermina Pekanbaru,Riau,Kota Pekanbaru,1
RS Umum Daerah Bengkalis,1408011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah  Bengkalis,Riau,Bengkalis,1
RS Dr. Hasri Ainun Habibie Parepare,7372078,Sudah kerjasama BPJS,Mammografi,RS Dr. Hasri Ainun Habibie Parepare,Sulawesi Selatan,Kota Pare-pare,1
RS Umum Daerah Syehk Yusuf Gowa,7306046,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Syehk Yusuf Gowa,Sulawesi Selatan,Gowa,1
RS Umum Daerah La Mappapenning,7308071,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah La Mappapenning,Sulawesi Selatan,Bone,1
RS Ibnu Sina YW-UMI Makassar,7371340,Sudah kerjasama BPJS,Mammografi,RS Ibnu Sina YW-UMI Makassar,Sulawesi Selatan,Kota Makassar,1
RS Umum Daerah Sawerigading,7373016,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Sawerigading,Sulawesi Selatan,Kota Palopo,1
RS Tk. II Pelamonia,7371030,Sudah kerjasama BPJS,Mammografi,RS Tk. II Pelamonia,Sulawesi Selatan,Kota Makassar,1
RS Siloam Makassar,7371402,Sudah kerjasama BPJS,Mammografi,RS Siloam Makassar,Sulawesi Selatan,Kota Makassar,1
RS Umum Pusat Dr. Tadjuddin Chalid Makassar,7371314,Sudah kerjasama BPJS,Mammografi,RS Umum Pusat Dr. Tadjuddin Chalid Makassar,Sulawesi Selatan,Kota Makassar,1
RS Umum Daerah Daya Kota Makassar,7371395,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Daya Kota Makassar,Sulawesi Selatan,Kota Makassar,1
RSUP Dr. Wahidin Sudirohusodo,7371325,Sudah kerjasama BPJS,Mammografi,RSUP Dr. Wahidin Sudirohusodo,Sulawesi Selatan,Kota Makassar,1
RS Umum Daerah Ampana,7209032,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Ampana,Sulawesi Tengah,Tojo Una-Una,1
RS Umum Daerah Undata Palu,7271014,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Undata Palu,Sulawesi Tengah,Kota Palu,1
RS Bahteramas Provinsi Sultra,7471011,Sudah kerjasama BPJS,Mammografi,RS Bahteramas Provinsi Sultra,Sulawesi Tenggara,Kota Kendari,1
RS Umum Daerah ODSK,7171103,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah ODSK,Sulawesi Utara,Kota Manado,1
Sentra Medika Hospital Minahasa Utara,7106020,Sudah kerjasama BPJS,Mammografi,Sentra Medika Hospital Minahasa Utara,Sulawesi Utara,Minahasa Utara,1
RSUP Prof. Dr. R. D. Kandou,7171013,Sudah kerjasama BPJS,Mammografi,RSUP Prof. Dr. R. D. Kandou,Sulawesi Utara,Kota Manado,1
RS Umum Siloam Hospital Manado,7171099,Sudah kerjasama BPJS,Mammografi,RS Umum Siloam Hospital Manado,Sulawesi Utara,Kota Manado,1
RS Umum Semen Padang Hospital,1371305,Sudah kerjasama BPJS,Mammografi,RS Umum Semen Padang Hospital,Sumatera Barat,Kota Padang,1
RS Islam Siti Rahmah,1371456,Sudah kerjasama BPJS,Mammografi,RS Islam Siti Rahmah,Sumatera Barat,Kota Padang,1
RS. Universitas Andalas,1371464,Sudah kerjasama BPJS,Mammografi,RS. Universitas Andalas,Sumatera Barat,Kota Padang,1
RS Umum Daerah Lubuk Sikaping,1309011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Lubuk Sikaping,Sumatera Barat,Pasaman,1
RS Umum Yos Sudarso,1371032,Sudah kerjasama BPJS,Mammografi,RS Umum Yos Sudarso,Sumatera Barat,Kota Padang,1
RS Siloam Sriwijaya Palembang,1671335,Sudah kerjasama BPJS,Mammografi,RS Siloam Sriwijaya Palembang,Sumatera Selatan,Kota Palembang,1
RS Umum Daerah Sekayu,1606011,Sudah kerjasama BPJS,Mammografi,RS Umum Daerah Sekayu,Sumatera Selatan,Musi Banyuasin,1
