Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RS Urip Sumoharjo,1871405,Sudah kerjasama BPJS,Kemo,RS Umum Urip Sumoharjo,Lampung,Kota Bandar Lampung,1
RSUD Dr. Ir. Soekarno,1901043,Belum kerjasama BPJS,Kemo,RS Umum Daerah Dr. (HC) Ir. Soekarno,Kepulauan Bangka Belitung,Bangka,0
RS Kanker Dharmais,3174063,Sudah kerjasama BPJS,Kemo,RS Kanker Dharmais,DKI Jakarta,Kota Jakarta Barat,1
RSU Pelni Petamburan,3174026,Sudah kerjasama BPJS,Kemo,RS Umum Pelni Petamburan,DKI Jakarta,Kota Jakarta Barat,1
RS Anak dan Bunda Harapan Kita,3174260,Sudah kerjasama BPJS,Kemo,RS Anak dan Bunda Harapan Kita,DKI Jakarta,Kota Jakarta Barat,1
RSUD Cengkareng,3174074,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Cengkareng,DKI Jakarta,Kota Jakarta Barat,1
RS Husada,3173040,Sudah kerjasama BPJS,Kemo,RS Umum Husada,DKI Jakarta,Kota Jakarta Pusat,1
RS Islam Jakarta Cempaka Putih,3173073,Sudah kerjasama BPJS,Kemo,RS Islam Jakarta Cempaka Putih,DKI Jakarta,Kota Jakarta Pusat,1
RS Kramat 128,3173580,Sudah kerjasama BPJS,Kemo,RS Umum Kramat 128,DKI Jakarta,Kota Jakarta Pusat,1
RSAL Dr. Mintoharjo,3173036,Sudah kerjasama BPJS,Kemo,RS Umum AL Dr. Mintoharjo,DKI Jakarta,Kota Jakarta Pusat,1
RSPAD Gatot Soebroto,3173025,Sudah kerjasama BPJS,Kemo,RS Umum PAD Gatot Soebroto,DKI Jakarta,Kota Jakarta Pusat,1
RSUD Tarakan,3173521,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Tarakan,DKI Jakarta,Kota Jakarta Pusat,1
RSUPN Dr. Cipto Mangunkusumo,3173014,Sudah kerjasama BPJS,Kemo,RSUPN Dr. Cipto Mangunkusumo,DKI Jakarta,Kota Jakarta Pusat,1
RS Khusus Kanker MRCCC Siloam Semanggi,3171056,Sudah kerjasama BPJS,Kemo,RS Khusus Kanker MRCCC Siloam Semanggi,DKI Jakarta,Kota Jakarta Selatan,1
RSUP Fatmawati,3171012,Sudah kerjasama BPJS,Kemo,RSUP Fatmawati,DKI Jakarta,Kota Jakarta Selatan,1
RS Bhayangkara Tk. I R.Said Sukanto,3172072,Sudah kerjasama BPJS,Kemo,RS Umum Bhayangkara Tk. I R.Said Sukanto,DKI Jakarta,Kota Jakarta Timur,1
RSU Hermina Jatinegara,3172243,Sudah kerjasama BPJS,Kemo,RS Umum Hermina Jatinegara,DKI Jakarta,Kota Jakarta Timur,1
RSUP Persahabatan,3172013,Sudah kerjasama BPJS,Kemo,RSUP Persahabatan,DKI Jakarta,Kota Jakarta Timur,1
RS EMC Tangerang,3671065,Belum kerjasama BPJS,Kemo,RS EMC Tangerang,Banten,Kota Tangerang,0
RS Hermina Tangerang,3671136,Sudah kerjasama BPJS,Kemo,RS Umum Hermina Tangerang,Banten,Kota Tangerang,1
RS Primaya,7371399,Sudah kerjasama BPJS,Kemo,RS Primaya,Sulawesi Selatan,Kota Makassar,1
RSUD Kabupaten Tangerang,3603010,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Kabupaten Tangerang,Banten,Tangerang,1
RS Siloam Hospitals Lippo Village,3671054,Sudah kerjasama BPJS,Kemo,RS Siloam Hospitals Lippo Village,Banten,Tangerang,1
RSUD Dr. Soedarso Pontianak,6171011,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Soedarso Pontianak,Kalimantan Barat,Kota Pontianak,1
RS Mayapada Jaksel,3171786,Sudah kerjasama BPJS,Kemo,RS Umum Mayapada,DKI Jakarta,Kota Jakarta Selatan,1
RSUD Koja,3175016,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Koja,DKI Jakarta,Kota Jakarta Utara,1
RSUD Pasar Rebo,3172126,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Pasar Rebo,DKI Jakarta,Kota Jakarta Timur,1
RS Hermina Bekasi,3275115,Sudah kerjasama BPJS,Kemo,RS Umum Hermina Bekasi,Jawa Barat,Kota Bekasi,1
RS Primaya Bekasi Barat,3275392,Sudah kerjasama BPJS,Kemo,RS Primaya,Jawa Barat,Kota Bekasi,1
RS Hermina Grand Wisata,3216318,Sudah kerjasama BPJS,Kemo,RS Umum Hermina Grand Wisata,Jawa Barat,Bekasi,1
RS PMI,3271013,Sudah kerjasama BPJS,Kemo,RS Umum PMI Bogor,Jawa Barat,Kota Bogor,1
RSUD Kota Bogor,3271104,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Kota Bogor,Jawa Barat,Kota Bogor,1
RS Paru Dr. M. Goenawan Partowidigdo,3201024,Sudah kerjasama BPJS,Kemo,RS Paru Dr. M. Goenawan Partowidigdo,Jawa Barat,Bogor,1
RSUD Ciawi,3201050,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Ciawi,Jawa Barat,Bogor,1
RS Hermina Depok,3201126,Sudah kerjasama BPJS,Kemo,RS Umum Hermina Depok,Jawa Barat,Kota Depok,1
RS Sentra Medika Cisalak,3276017,Sudah kerjasama BPJS,Kemo,RS Umum Sentra Medika,Jawa Barat,Kota Depok,1
RS Advent,3273085,Sudah kerjasama BPJS,Kemo,RS Umum Advent Bandung,Jawa Barat,Kota Bandung,1
RS Al Islam,3273420,Sudah kerjasama BPJS,Kemo,RS Umum Al-Islam Bandung,Jawa Barat,Kota Bandung,1
RS Hermina Pasteur,3273539,Sudah kerjasama BPJS,Kemo,RS Umum Hermina Pasteur ,Jawa Barat,Kota Bandung,1
RSU Santosa Hospital Bandung Central,3273486,Belum kerjasama BPJS,Kemo,RS Umum Santosa Hospital Bandung Central,Jawa Barat,Kota Bandung,0
RSU Santosa Hospital Bandung Kopo,3273542,Belum kerjasama BPJS,Kemo,RS Umum Santosa Hospital Bandung Kopo,Jawa Barat,Kota Bandung,0
RS Paru Dr. H. A. Rotinsulu,3273201,Belum kerjasama BPJS,Kemo,RS Paru Dr. H. A. Rotinsulu,Jawa Barat,Kota Bandung,0
RSUP Dr. Hasan Sadikin,3273015,Belum kerjasama BPJS,Kemo,RS Umum Pusat Dr. Hasan Sadikin,Jawa Barat,Kota Bandung,0
RS Khusus Mata Cicendo,3273191,Belum kerjasama BPJS,Kemo,RS Khusus Mata Cicendo,Jawa Barat,Kota Bandung,0
RSUD Cibabat,3277020,Belum kerjasama BPJS,Kemo,RS Umum Daerah Cibabat,Jawa Barat,Kota Cimahi,0
